server_name,score,tool_count,repo_url,grade_page,badge_md
co.ainumbers/tools,100,528,https://github.com/PostOakLabs/ainumbers-mcp-apps,https://mcpqueen.com/s/co.ainumbers/tools,[![MCP Queen grade](https://mcpqueen.com/badge/co.ainumbers/tools.svg)](https://mcpqueen.com/s/co.ainumbers/tools)
io.github.tresor4k/macalc-mcp,100,446,https://github.com/tresor4k/macalc-mcp,https://mcpqueen.com/s/io.github.tresor4k/macalc-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.tresor4k/macalc-mcp.svg)](https://mcpqueen.com/s/io.github.tresor4k/macalc-mcp)
io.github.Vee3io/vee3,100,296,https://github.com/Vee3io/vee3,https://mcpqueen.com/s/io.github.Vee3io/vee3,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.Vee3io/vee3.svg)](https://mcpqueen.com/s/io.github.Vee3io/vee3)
io.github.getgapup/gapup-mcp,100,271,https://github.com/getgapup/gapup-mcp-public,https://mcpqueen.com/s/io.github.getgapup/gapup-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.getgapup/gapup-mcp.svg)](https://mcpqueen.com/s/io.github.getgapup/gapup-mcp)
io.github.getgapup/mcp-knowledge,100,271,https://github.com/getgapup/gapup-mcp,https://mcpqueen.com/s/io.github.getgapup/mcp-knowledge,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.getgapup/mcp-knowledge.svg)](https://mcpqueen.com/s/io.github.getgapup/mcp-knowledge)
com.local-mcp/local-mcp,100,234,https://github.com/lanchuske/local-mcp-releases,https://mcpqueen.com/s/com.local-mcp/local-mcp,[![MCP Queen grade](https://mcpqueen.com/badge/com.local-mcp/local-mcp.svg)](https://mcpqueen.com/s/com.local-mcp/local-mcp)
xyz.558686.gpt55/token-gateway,100,216,https://github.com/go165/gpt55-x402-gateway,https://mcpqueen.com/s/xyz.558686.gpt55/token-gateway,[![MCP Queen grade](https://mcpqueen.com/badge/xyz.558686.gpt55/token-gateway.svg)](https://mcpqueen.com/s/xyz.558686.gpt55/token-gateway)
io.github.JSONbored/metagraphed,100,204,https://github.com/JSONbored/metagraphed,https://mcpqueen.com/s/io.github.JSONbored/metagraphed,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.JSONbored/metagraphed.svg)](https://mcpqueen.com/s/io.github.JSONbored/metagraphed)
io.github.CDCStream/captapi,100,174,https://github.com/CDCStream/captapi,https://mcpqueen.com/s/io.github.CDCStream/captapi,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.CDCStream/captapi.svg)](https://mcpqueen.com/s/io.github.CDCStream/captapi)
io.github.social-freak-ltd/socialfetch,100,159,https://github.com/social-freak-ltd/socialfetch-mcp,https://mcpqueen.com/s/io.github.social-freak-ltd/socialfetch,[![MCP Queen grade](https://mcpqueen.com/badge/io.github.social-freak-ltd/socialfetch.svg)](https://mcpqueen.com/s/io.github.social-freak-ltd/socialfetch)
