server_name,registry_repo_url,status
io.github.getgapup/mcp-knowledge,https://github.com/getgapup/gapup-mcp,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
xyz.558686.gpt55/token-gateway,https://github.com/go165/gpt55-x402-gateway,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest"",""status"":""404""}MISSING"
io.github.JcJamet/ia-qa-toolbox,https://github.com/jcjamet/ia-qa,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
io.github.Shree-git/sendit,https://github.com/Shree-git/sendit,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
io.github.thyn-ai/algenta,https://github.com/thyn-ai/algenta,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
com.readyapis/api,https://github.com/ReadyAPIs-com/readyapis,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
com.meta-council/decision-intelligence,https://github.com/daliu/meta-council,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
app.saber.mcp/saber,https://github.com/saberapp/platform,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
io.apis/apis-io,https://github.com/api-search/apis-io-aws,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
ai.tunnelmind/data,https://github.com/TunnelMind/tunnelmind-data-api,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
io.github.CueCrux/vaultcrux-platform,https://github.com/CueCrux/VaultCrux,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
io.emc2ai/einstein,https://github.com/ChuXo/Eliza,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
io.github.DigbyO/colour-memory,https://github.com/DigbyO/colour-memory-api,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
app.onehaus/haus,https://github.com/Im5tu/haus,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
io.github.rccola990-cloud/x402-agent-store,https://github.com/rccola990-cloud/x402-agent-store,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest"",""status"":""404""}MISSING"
net.programmes/developer-tools,https://github.com/setkernel/programmes-net,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
com.loppee/loppee,https://github.com/4dwebspro-cell/ylai-platform,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest"",""status"":""404""}MISSING"
xyz.lonestaroracle/mcp-server,https://github.com/Homie4570/lso-mcp,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest"",""status"":""404""}MISSING"
io.github.PayRam/payram-helper-mcp,https://github.com/PayRam/payram-helper-mcp-server,redirects_to PayRam/payram-mcp
io.github.digitalweb33333-creator/x402-endpoints,https://github.com/digitalweb33333-creator/x402-endpoints,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
com.kaicalls/kaicalls,https://github.com/cgallic/kaicalls-mcp,redirects_to KaiCalls/kaicalls-mcp
de.carbon-cashmere.api/crypto-intelligence,https://github.com/Nedeljko87/Carbon-Cashmere,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
io.tooloracle/ampel,https://github.com/ToolOracle/ampel,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
io.github.XogZ3/botoi-mcp,https://github.com/XogZ3/botoi,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
app.noemic/noemic,https://github.com/MorganFisher2007/Noemic,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
com.stratalize/finance,https://github.com/Stratalize/Stratalize,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
io.github.bdentech/chieflab,https://github.com/bdentech/chiefmo-agent,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest"",""status"":""404""}MISSING"
io.github.Airpote/avalanche-docs,https://github.com/Airpote/avalanche-mcp-vscode,redirects_to yassirboudda/avalanche-mcp-vscode
io.github.atomadictech/aaaa-nexus,https://github.com/atomadictech/aaaa-nexus,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
ai.snowsure/snow,https://github.com/mikeslone/snowsure-web,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
com.rubrkit/rubrkit,https://github.com/liberat0r/react-rubrkit,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
be.vibedeploy/vibedeploy,https://github.com/thomasbillen-netizen/vibedeploy-api,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
dev.busymate/busymate-devtools,https://github.com/serebano/busymate-devtools,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
io.github.lastmanupinc-hub/axis-toolbox,https://github.com/lastmanupinc-hub/Toolbox,redirects_to lastmanupinc-hub/AXIS-iliad
io.github.wikatar/arkolith,https://github.com/wikatar/Arkolith.com,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
to.agentservices/agentservices,https://github.com/vbkotecha/aiservices-api,redirects_to vbkotecha/agentservices-api
app.ottodata/otto,https://github.com/Degergokalp/otto-data,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
ai.nullary/nullary,https://github.com/nullary-ai/nullary,"redirects_to {""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/repos/repos#get-a-repository"",""status"":""404""}MISSING"
